用例ID,用例名称,优先级,测试类型,执行日期,执行人,测试结果,缺陷ID,备注,截图路径
E2E-01,标准套餐购买开通全流程,P0,E2E,,,,,,
E2E-01-STEP1,销售生成分享链接,P0,功能,,,,,,
E2E-01-STEP2,客户通过链接注册,P0,功能,,,,,,
E2E-01-STEP3,客户提交对公订单,P0,功能,,,,,,
E2E-01-STEP4,官方管理员审核对公到账,P0,功能,,,,,,
E2E-01-STEP5,系统生成开通任务,P0,功能,,,,,,
E2E-01-STEP6,运维接收工单并处理,P0,功能,,,,,,
E2E-01-STEP7,客户管理员分配席位,P0,功能,,,,,,
E2E-01-STEP8,成员登录并启用席位,P0,功能,,,,,,
E2E-01-STEP9,销售查看佣金pending,P0,功能,,,,,,
E2E-02,定制报价购买开通全流程,P0,E2E,,,,,,
E2E-03,客户退款回退全流程,P0,E2E,,,,,,
E2E-04,销售离职客户继承流程,P0,E2E,,,,,,
TC-CUST-REG-01,手机号注册流程,P0,功能,,,,,,
TC-CUST-REG-02,USCC实时去重校验,P0,功能,,,,,,
TC-CUST-REG-03,通过分享链接注册自动归属销售,P0,功能,,,,,,
TC-CUST-BILL-01,标准套餐下单,P0,功能,,,,,,
TC-CUST-SEAT-01,查看席位池状态,P0,功能,,,,,,
TC-CUST-SEAT-02,邀请成员并分配席位,P0,功能,,,,,,
TC-CUST-WORK-01,成员登录工作台,P0,功能,,,,,,
TC-SALES-DASH-01,KPI卡片数据准确性,P0,功能,,,,,,
TC-SALES-DASH-02,待办分组逻辑,P1,功能,,,,,,
TC-SALES-DASH-03,接口失败降级,P1,异常,,,,,,
TC-SALES-CUST-01,列表列定义完整性,P0,功能,,,,,,
TC-SALES-CUST-02,USCC实时去重校验交互,P0,功能,,,,,,
TC-SALES-CUST-03,筛选与搜索功能,P1,功能,,,,,,
TC-SALES-CUSTNEW-01,基础字段校验,P0,功能,,,,,,
TC-SALES-CUSTDET-01,五Tab信息展示,P0,功能,,,,,,
TC-SALES-SHARE-01,分享链接生成,P0,功能,,,,,,
TC-SALES-SHARE-02,防刷规则验证,P1,异常,,,,,,
TC-SALES-SHARE-03,邀请码生成,P1,功能,,,,,,
TC-SALES-OPEN-01,开通状态展示,P0,功能,,,,,,
TC-SALES-OPEN-02,提醒客户管理员,P1,功能,,,,,,
TC-SALES-COMM-01,佣金流水展示,P0,功能,,,,,,
TC-SALES-COMM-02,归属期计算,P1,功能,,,,,,
TC-ADMIN-DASH-01,四区分层布局,P0,UI+功能,,,,,,
TC-ADMIN-DASH-02,刷新策略验证,P1,功能,,,,,,
TC-ADMIN-TENANT-01,企业列表与后台补录,P0,功能,,,,,,
TC-ADMIN-ORDER-01,对公审核三种操作,P0,功能,,,,,,
TC-ADMIN-ORDER-02,防重放凭证检测,P1,异常,,,,,,
TC-ADMIN-ORDER-03,SLA监控,P1,功能,,,,,,
TC-ADMIN-TASK-01,状态机流转,P0,功能,,,,,,
TC-ADMIN-TASK-02,火山资源映射状态,P1,功能,,,,,,
TC-ADMIN-SALES-01,销售列表与详情,P0,功能,,,,,,
TC-ADMIN-SALES-02,销售继承（离职交接）,P1,功能,,,,,,
TC-ADMIN-COMMRULE-01,基础费率配置,P0,功能,,,,,,
TC-OPS-TICKET-01,工单自动创建,P0,功能,,,,,,
TC-OPS-TICKETDET-01,客户侧快捷入口,P0,功能,,,,,,
TC-PERM-SALES-01,销售A访问销售B的客户,P0,权限,,,,,,
TC-PERM-SALES-02,销售数据隔离矩阵,P0,权限,,,,,,
TC-PERM-ADMIN-01,R1不可修改客户业务数据,P0,权限,,,,,,
TC-PERM-TENANT-01,企业A管理员访问企业B数据,P0,权限,,,,,,
TC-PERM-OPS-01,运维只能查看指派给自己的工单,P0,权限,,,,,,
TC-UI-COLOR-01,颜色禁令检查,P1,UI,,,,,,
TC-UI-TYPO-01,字号检查,P1,UI,,,,,,
TC-UI-LAYOUT-01,App Shell验证,P0,UI,,,,,,
TC-UI-SPACING-01,间距刻度检查,P1,UI,,,,,,
TC-UI-COMP-01,强制组件检查,P0,UI,,,,,,
TC-UI-RESP-01,断点检查,P2,UI,,,,,,
TC-UI-PROTO-01,原型对比,P1,UI,,,,,,
TC-EDGE-USCC-01,100个客户1秒内通过同一链接注册,P0,异常,,,,,,
TC-EDGE-USCC-02,两销售并发录入同一USCC,P0,异常,,,,,,
TC-EDGE-REVIEW-01,凭证pHash命中重复,P1,异常,,,,,,
TC-EDGE-REVIEW-02,金额不一致,P1,异常,,,,,,
TC-EDGE-TASK-01,火山API调用失败,P1,异常,,,,,,
TC-EDGE-COMM-01,归属期边界,P1,异常,,,,,,
TC-EDGE-COMM-02,退款回退逻辑,P1,异常,,,,,,
TC-EDGE-SEC-01,单IP限流,P1,异常,,,,,,
TC-EDGE-MOCK-01,接口500错误降级,P1,异常,,,,,,
